subj_id	trial_no	item_type	source	recog	rt_recog	assign	rt_assign	word	study_pos
56	1	*nnn*	nosou	new	1.8640616499978933	N	-66	Möbel	-95
56	2	*nnn*	nosou	new	1.1803772878920427	N	-66	Harfe	-95
56	3	*EEE*	bottom	old	1.1798759549710667	T	3.0108853244018974	Junge	35
56	4	*VVV*	top	old	3.0332204855658347	T	2.373653847258538	Altar	60
56	5	*nnn*	nosou	new	2.930667133812676	N	-66	Apfel	-95
56	6	*VVV*	bottom	old	1.9167697093143943	B	1.9656324384559412	Wiege	57
56	7	*EEE*	bottom	old	2.1552478726225672	T	2.717728231611545	Berg	1
56	8	*VVV*	bottom	old	1.8186167642124929	T	2.55706087625731	Sturm	5
56	9	*nnn*	nosou	new	2.552756469529413	N	-66	Geld	-95
56	10	*EEE*	bottom	old	1.0038297404462355	T	1.9336718492995715	Schleim	31
56	11	*nnn*	nosou	old	3.304910108796321	B	0.9888750860554865	Pianist	-95
56	12	*VVV*	top	old	2.528572284245456	T	3.02171895653737	Kneipe	18
56	13	*EEE*	bottom	old	1.2886869426147314	T	1.4213522696591099	Sklave	45
56	14	*EEE*	top	old	1.2498525129412883	T	0.38127476408408256	Leiche	40
56	15	*nnn*	nosou	new	2.1713984234665986	N	-66	Hafer	-95
56	16	*EEE*	bottom	old	3.3176112265718984	T	3.3170733808583464	Luft	34
56	17	*nnn*	nosou	new	2.226890480495058	N	-66	Strand	-95
56	18	*VVV*	top	old	0.9819524250633549	B	1.453028551361058	Körper	30
56	19	*nnn*	nosou	new	1.9707388958049705	N	-66	Maler	-95
56	20	*VVV*	bottom	old	1.1261045119172195	B	0.6373590667790268	Brett	21
56	21	*nnn*	nosou	new	2.8023940082930494	N	-66	Schaum	-95
56	22	*nnn*	nosou	new	2.060356053043506	N	-66	Larve	-95
56	23	*VVV*	bottom	old	4.326221681047173	B	1.2134029018270667	Stange	54
56	24	*VVV*	top	new	1.7129762355107232	N	-66	Richter	8
56	25	*VVV*	top	new	0.7815300254078466	N	-66	Pudding	73
56	26	*nnn*	nosou	new	1.308182311237033	N	-66	Vogel	-95
56	27	*nnn*	nosou	new	1.749522667058045	N	-66	Stuhl	-95
56	28	*EEE*	bottom	old	1.221248638976249	T	1.0053932263399474	Meer	15
